2024-10-07 17:09:21 install gcc-14-base:arm64 <none> 14.2.0-4ubuntu2
2024-10-07 17:09:21 status half-installed gcc-14-base:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:21 status unpacked gcc-14-base:arm64 14.2.0-4ubuntu2
2024-10-07 17:09:22 install grep:arm64 <none> 3.11-4build1
2024-10-07 17:09:22 status half-installed grep:arm64 3.11-4build1
2024-10-07 17:09:22 status unpacked grep:arm64 3.11-4build1
2024-10-07 17:09:22 install gzip:arm64 <none> 1.12-1.1ubuntu1
2024-10-07 17:09:22 status half-installed gzip:arm64 1.12-1.1ubuntu1
2024-10-07 17:09:22 status unpacked gzip:arm64 1.12-1.1ubuntu1
2024-10-07 17:09:22 install hostname:arm64 <none> 3.23+nmu2ubuntu2
2024-10-07 17:09:22 status half-installed hostname:arm64 3.23+nmu2ubuntu2
2024-10-07 17:09:22 status unpacked hostname:arm64 3.23+nmu2ubuntu2
2024-10-07 17:09:22 install init-system-helpers:all <none> 1.66ubuntu1
2024-10-07 17:09:22 status half-installed init-system-helpers:all 1.66ubuntu1
2024-10-07 17:09:22 status unpacked init-system-helpers:all 1.66ubuntu1
2024-10-07 17:09:22 install libacl1:arm64 <none> 2.3.2-2
2024-10-07 17:09:22 status half-installed libacl1:arm64 2.3.2-2
2024-10-07 17:09:22 status unpacked libacl1:arm64 2.3.2-2
2024-10-07 17:09:22 install libattr1:arm64 <none> 1:2.5.2-1build2
2024-10-07 17:09:22 status half-installed libattr1:arm64 1:2.5.2-1build2
2024-10-07 17:09:22 status unpacked libattr1:arm64 1:2.5.2-1build2
2024-10-07 17:09:22 install libaudit-common:all <none> 1:4.0.1-1ubuntu2
2024-10-07 17:09:22 status half-installed libaudit-common:all 1:4.0.1-1ubuntu2
2024-10-07 17:09:22 status unpacked libaudit-common:all 1:4.0.1-1ubuntu2
2024-10-07 17:09:22 install libaudit1:arm64 <none> 1:4.0.1-1ubuntu2
2024-10-07 17:09:22 status half-installed libaudit1:arm64 1:4.0.1-1ubuntu2
2024-10-07 17:09:22 status unpacked libaudit1:arm64 1:4.0.1-1ubuntu2
2024-10-07 17:09:22 install libblkid1:arm64 <none> 2.40.2-1ubuntu1
2024-10-07 17:09:22 status half-installed libblkid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:22 status unpacked libblkid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:22 install libbsd0:arm64 <none> 0.12.2-1
2024-10-07 17:09:22 status half-installed libbsd0:arm64 0.12.2-1
2024-10-07 17:09:22 status unpacked libbsd0:arm64 0.12.2-1
2024-10-07 17:09:22 install libbz2-1.0:arm64 <none> 1.0.8-6
